"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOIC-20_7.5x12.8mm_Pitch1.27mm";1;"74VHC245D";;;
2;"CN1";"ARDUINO";1;"ARDUINO";;;
3;"Q1";"SOT-23";1;"2N7002";;;
4;"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11";"C_0603";11;"1u";;;
5;"R1";"R_0603";1;"2k";;;
6;"R2";"R_0603";1;"330";;;
7;"R3";"R_0603";1;"620";;;
8;"R6,R7,R8";"R_0603";3;"30";;;
9;"R9,R4,R21";"R_0603";3;"1k";;;
10;"R5";"R_0603";1;"3k3";;;
11;"DIS1";"EA_DOGM128";1;"EA_DOGM128-6";;;
12;"DIS2";"EA_DOGM081_162_163_132";1;"EA_DOGM132-5";;;
13;"DIS3";"EA_DOGS102";1;"EA_DOGS102-6";;;
14;"U1";"SOT-223";1;"LT1117";;;
15;"C12";"C_0603";1;"100n";;;
16;"R10,R11,R12,R13,R14,R15,R16,R17";"R_0603";8;"DNI";;;
17;"R18,R19,R20";"R_0603";3;"0R";;;
18;"D1";"LED_0603";1;"green";;;
19;"SW1,SW2,SW3,SW4,SW5,SW6";"WE_430182050816";6;"TAST_VER";;;
20;"G***,G***";"generationmake_logo";2;"generationmake_logo";;;
